score,ein,name,city,county,zip,ntee,files_990pf,foundation_cd,assets,income,revenue,signals
60,061691227,MICHAEL G CURRAN FAMILY FOUNDATION,Bradenton,Manatee,34202,T20,Y,04,16609455,47211608,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,822959949,KOSLOSKI FAMILY FOUNDATION,Sarasota,Sarasota,34236,T12,Y,04,15368806,10819988,0,ntee-grantmaker:T12;files-990PF;private-foundation:04;name:foundation
60,650754834,JAMES AND BRENDA HOYT FOUNDATION,Sarasota,Sarasota,34236,T20Z,Y,04,15206741,4643677,0,ntee-grantmaker:T20Z;files-990PF;private-foundation:04;name:foundation
60,226800804,MICHAEL J KOSLOSKI FOUNDATION,Sarasota,Sarasota,34236,T22,Y,04,14848711,3530430,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,656220389,SUNSHINE NATURAL WELLBEING FOUNDATION,Sarasota,Sarasota,34242,T22Z,Y,04,14216029,673133,0,ntee-grantmaker:T22Z;files-990PF;private-foundation:04;name:foundation
60,271036148,EDMUND J & ESTELLE D WALKER CHARITABLE TRUST,Venice,Sarasota,34293,T22,Y,04,13585215,866881,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,866690558,MAKE DISCIPLES CHARITABLE FOUNDATION,Sarasota,Sarasota,34243,T23,Y,03,13082850,2669986,0,ntee-grantmaker:T23;files-990PF;private-foundation:03;name:foundation
60,061639333,GETTEL FOUNDATION INC,Bradenton,Manatee,34208,T31,Y,04,12607750,3425220,0,ntee-grantmaker:T31;files-990PF;private-foundation:04;name:foundation
60,455239860,GAIL L BAIRD FAMILY FOUNDATION INC,Sarasota,Sarasota,34236,T22,Y,04,12116556,1014551,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,816941753,GEORGE AND LUCY MALMBERG FOUNDATION TR AGREEMENT,Sarasota,Sarasota,34236,T20,Y,04,12052065,8967076,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,223515940,FRY FAMILY FOUNDATION A NEW JERSEY NONPROFIT CORPORATION,Osprey,Sarasota,34229,T22Z,Y,04,11376558,1911241,0,ntee-grantmaker:T22Z;files-990PF;private-foundation:04;name:foundation
60,137220937,PURJES FOUNDATION,Longboat Key,Sarasota,34228,T22,Y,04,11301078,6611185,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,832748016,SUMMER BREEZE FOUNDATION,Sarasota,Sarasota,34231,T20,Y,04,11189885,10520974,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,510478343,MCMURTRY FAMILY FOUNDATION,Venice,Sarasota,34285,T22,Y,04,10460258,2030678,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,387123022,THE KARAFIN FAMILY FOUNDATION,Longboat Key,Sarasota,34228,T12,Y,04,10211884,1399845,0,ntee-grantmaker:T12;files-990PF;private-foundation:04;name:foundation
